datetime,team,stadium_id,stadium
10/6/2019 13:00,Chicago Bears,LON02,Tottenham Hotspur Stadium
10/6/2019 13:00,Las Vegas Raiders,LON02,Tottenham Hotspur Stadium
10/13/2019 9:30,Carolina Panthers,LON02,Tottenham Hotspur Stadium
10/13/2019 9:30,Tampa Bay Buccaneers,LON02,Tottenham Hotspur Stadium
10/27/2019 13:00,Cincinnati Bengals,LON00,Wembley Stadium
10/27/2019 13:00,Los Angeles Rams,LON00,Wembley Stadium
11/3/2019 9:30,Houston Texans,LON00,Wembley Stadium
11/3/2019 9:30,Jacksonville Jaguars,LON00,Wembley Stadium
11/18/2019 20:15,Kansas City Chiefs,MEX00,Azteca Stadium
11/18/2019 20:15,Los Angeles Chargers,MEX00,Azteca Stadium
12/7/2020 20:15,Buffalo Bills,PHO00,State Farm Stadium
12/7/2020 20:15,San Francisco 49ers,PHO00,State Farm Stadium
12/13/2020 16:25,San Francisco 49ers,PHO00,State Farm Stadium
12/13/2020 16:25,Washington Commanders,PHO00,State Farm Stadium
1/3/2021 16:25,Seattle Seahawks,PHO00,State Farm Stadium
1/3/2021 16:25,San Francisco 49ers,PHO00,State Farm Stadium
9/12/2021 16:25,Green Bay Packers,JAX00,TIAA Bank Field
9/12/2021 16:25,New Orleans Saints,JAX00,TIAA Bank Field
10/10/2021 9:30,New York Jets,LON02,Tottenham Hotspur Stadium
10/10/2021 9:30,Atlanta Falcons,LON02,Tottenham Hotspur Stadium
10/17/2021 9:30,Miami Dolphins,LON02,Tottenham Hotspur Stadium
10/17/2021 9:30,Jacksonville Jaguars,LON02,Tottenham Hotspur Stadium
10/2/2022 9:30,Minnesota Vikings,LON02,Tottenham Hotspur Stadium
10/2/2022 9:30,New Orleans Saints,LON02,Tottenham Hotspur Stadium
10/9/2022 9:30,New York Giants,LON02,Tottenham Hotspur Stadium
10/9/2022 9:30,Green Bay Packers,LON02,Tottenham Hotspur Stadium
10/30/2022 9:30,Jacksonville Jaguars,LON00,Wembley Stadium
10/30/2022 9:30,Denver Broncos,LON00,Wembley Stadium
11/13/2022 9:30,Seattle Seahawks,GER00,Alliance Stadium
11/13/2022 9:30,Tampa Bay Buccaneers,GER00,Alliance Stadium
11/20/2022 13:00,Buffalo Bills,DET00,Ford Field
11/20/2022 13:00,Cleveland Browns,DET00,Ford Field
11/21/2022 20:15,Arizona Cardinals,MEX00,Azteca Stadium
11/21/2022 20:15,San Francisco 49ers,MEX00,Azteca Stadium
10/1/2023 9:30,Atlanta Falcons,LON00,Wembley Stadium
10/1/2023 9:30,Jacksonville Jaguars,LON00,Wembley Stadium
10/8/2023 9:30,Buffalo Bills,LON02,Tottenham Hotspur Stadium
10/8/2023 9:30,Jacksonville Jaguars,LON02,Tottenham Hotspur Stadium
10/15/2023 9:30,Tennessee Titans,LON02,Tottenham Hotspur Stadium
10/15/2023 9:30,Baltimore Ravens,LON02,Tottenham Hotspur Stadium
11/5/2023 9:30,Miami Dolphins,FRA00,Deutsche Bank Park
11/5/2023 9:30,Kansas City Chiefs,FRA00,Deutsche Bank Park
11/12/2023 9:30,New England Patriots,FRA00,Deutsche Bank Park
11/12/2023 9:30,Indianapolis Colts,FRA00,Deutsche Bank Park
9/6/2024 20:15,Green Bay Packers,SAO00,Arena Corinthians
9/6/2024 20:15,Philadelphia Eagles,SAO00,Arena Corinthians
10/6/2024 9:30,New York Jets,LON02,Tottenham Hotspur Stadium
10/6/2024 9:30,Minnesota Vikings,LON02,Tottenham Hotspur Stadium
10/13/2024 9:30,Chicago Bears,LON02,Tottenham Hotspur Stadium
10/13/2024 9:30,Jacksonville Jaguars,LON02,Tottenham Hotspur Stadium
10/20/2024 9:30,Jacksonville Jaguars,LON00,Wembley Stadium
10/20/2024 9:30,New England Patriots,LON00,Wembley Stadium
11/10/2024 9:30,New York Giants,GER00,Alliance Stadium
11/10/2024 9:30,Carolina Panthers,GER00,Alliance Stadium
9/5/2025 20:00,Kansas City Chiefs,SAO00,Arena Corinthians
9/5/2025 20:00,Los Angeles Chargers,SAO00,Arena Corinthians
9/28/2025 9:30,Minnesota Vikings,DUB00,Croke Park
9/28/2025 9:30,Pittsburgh Steelers,DUB00,Croke Park
10/5/2025 9:30,Minnesota Vikings,LON02,Tottenham Hotspur Stadium
10/5/2025 9:30,Cleveland Browns,LON02,Tottenham Hotspur Stadium
10/12/2025 9:30,Denver Broncos,LON02,Tottenham Hotspur Stadium
10/12/2025 9:30,New York Jets,LON02,Tottenham Hotspur Stadium
10/19/2025 9:30,Los Angeles Rams,LON00,Wembley Stadium
10/19/2025 9:30,Jacksonville Jaguars,LON00,Wembley Stadium
11/9/2025 9:30,Atlanta Falcons,BER00,Olympiastadion
11/9/2025 9:30,Indianapolis Colts,BER00,Olympiastadion
11/16/2025 9:30,Washington Commanders,ESP00,Santiago Bernabeu Stadium
11/16/2025 9:30,Miami Dolphins,ESP00,Santiago Bernabeu Stadium
